DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES;
ARG;BOG;64;1010;4196489;
ARG;BOG;13273;2362;9784294;
ARG;BOG;3200;5844;24284793;
ARG;BOG;2750;84190;356249793;
ARG;BOG;1513;14171;59953243;
ARG;BOG;300;2937;12449926;
ARG;BOG;1200;7668;31138444;
ARG;BOG;2;3733;15159728;
ARG;BOG;2507;23471;99298762;
ARG;BOG;78;1880;8246920;
ARG;BOG;7;685;2823778;
ARG;BOG;20;145;617176;
ARG;BOG;0;32;138271;
ARG;BOG;0;73;313039;
ARG;BOG;5;43;182482;
ARG;BOG;0;850;3603022;
ARG;BOG;2;36;152598;
ARG;BOG;8;734;3111951;
ARG;BOG;1;44;188883;
ARG;BOG;0;1297;5497788;
ARG;BOG;0;28;120637;
ARG;BOG;1;143;606155;
ARG;BOG;10;32;136067;
ARG;BOG;4;34;147681;
ARG;BOG;10;10;45779;
ARG;BOG;3;73;310914;
ARG;BOG;1300;78;331663;
ARG;BOG;1;172;732465;
ARG;BOG;72;61;261758;
ARG;BOG;12;2970;12438099;
ARG;BOG;17075;2236;9293894;
ARG;BOG;760;471;1957807;
ARG;BOG;18625;5550;23549887;
ARG;BOG;4200;462;1934398;
ARG;BOG;355;304;1274944;
ARG;BOG;3240;670;2848529;
ARG;BOG;2;881;3867630;
ARG;BOG;179;17467;75018283;
ARG;BOG;2;64;283553;
ARG;BOG;1;99;404686;
ARG;BOG;896800;44815;187408241;
ARG;BOG;1;2285;10023518;
ARG;BOG;60000;5151;21746912;
ARG;BOG;0;214;868882;
ARG;BOG;69;3284;13313439;
ARG;BOG;1;214;869815;
ARG;BOG;155;11081;44922795;
ARG;BOG;24;1404;5695330;
ARG;BOG;12;137;555973;
ARG;BOG;2024;1463556;6197042738;
AUS;BOG;216960;38244;161422463;
AUS;BOG;19600;5467;23042655;
AUS;BOG;22000;2200;9288598;
AUS;BOG;8100;4860;20560764;
AUS;BOG;335;223;942707;
AUS;BOG;1500;315;1329958;
AUS;BOG;5400;1134;4787850;
AUS;BOG;7150;2431;10663970;
AUS;BOG;33600;5880;23877680;
AUS;BOG;16850;3370;14783044;
AUS;BOG;60770;11638;47178875;
AUS;BOG;2988;3002;13170507;
AUS;BOG;40;84;368479;
AUS;BOG;500;20;84639;
AUS;BOG;140;464;1967019;
AUS;BOG;367;10110;42772880;
AUS;BOG;5;165;700771;
AUS;BOG;189;1392;5911294;
